ID,Section,Subject,Name,Home Tuition (Y/N),Class,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
8A1,A,Maths,Kunwar Bansal,Y,8,80101,81,80,100,72,8,10,6,1.0,3,91
8A1,A,Science,Kunwar Bansal,N,8,80101,82,68,69,42,5,3,2,0.3,10,97
8A1,A,Social,Kunwar Bansal,Y,8,80101,92,90,47,63,4,7,7,0.5,3,69
8A1,A,English,Kunwar Bansal,N,8,80101,69,79,99,48,3,8,3,0.9,5,30
8A1,A,Hindi,Kunwar Bansal,Y,8,80101,73,54,56,53,9,9,5,0.5,10,33
8A1,A,Arts,Kunwar Bansal,Y,8,80101,99,50,52,76,7,4,3,0.5,5,80
8A2,A,Maths,Siddharth Sidhu,N,8,80102,67,51,92,70,5,4,3,0.5,6,42
8A2,A,Science,Siddharth Sidhu,N,8,80102,91,80,94,51,8,6,8,0.1,4,76
8A2,A,Social,Siddharth Sidhu,N,8,80102,87,53,62,98,8,6,6,0.3,9,66
8A2,A,English,Siddharth Sidhu,Y,8,80102,87,69,69,44,4,10,3,0.2,10,97
8A2,A,Hindi,Siddharth Sidhu,N,8,80102,83,100,97,85,4,7,3,0.9,8,66
8A2,A,Arts,Siddharth Sidhu,N,8,80102,92,84,78,41,8,6,6,0.7,6,41
8A3,A,Maths,Ishita Balakrishnan,N,8,80103,81,49,64,100,3,3,2,0.2,3,68
8A3,A,Science,Ishita Balakrishnan,N,8,80103,70,63,50,72,3,5,2,0.9,4,74
8A3,A,Social,Ishita Balakrishnan,Y,8,80103,95,87,85,88,8,9,4,0.6,8,30
8A3,A,English,Ishita Balakrishnan,N,8,80103,87,79,67,71,7,10,5,0.5,6,41
8A3,A,Hindi,Ishita Balakrishnan,Y,8,80103,90,100,71,89,8,4,5,0.4,3,48
8A3,A,Arts,Ishita Balakrishnan,Y,8,80103,80,42,54,82,9,6,5,0.1,3,57
8A4,A,Maths,Kriti Agrawal,N,8,80104,96,46,50,88,7,8,3,0.2,8,58
8A4,A,Science,Kriti Agrawal,N,8,80104,86,56,99,96,8,6,8,0.8,6,83
8A4,A,Social,Kriti Agrawal,N,8,80104,93,40,93,78,9,3,2,0.9,5,30
8A4,A,English,Kriti Agrawal,Y,8,80104,91,65,88,82,3,7,6,0.2,3,62
8A4,A,Hindi,Kriti Agrawal,Y,8,80104,95,82,58,90,10,10,10,0.6,5,65
8A4,A,Arts,Kriti Agrawal,Y,8,80104,76,66,73,98,3,3,4,0.4,3,63
8A5,A,Maths,Suman Thakur,N,8,80105,67,76,49,62,8,6,3,0.6,4,99
8A5,A,Science,Suman Thakur,N,8,80105,88,43,71,80,8,5,2,0.6,5,94
8A5,A,Social,Suman Thakur,N,8,80105,73,90,40,59,6,6,10,0.6,5,91
8A5,A,English,Suman Thakur,N,8,80105,73,68,79,89,7,9,2,0.4,3,75
8A5,A,Hindi,Suman Thakur,Y,8,80105,87,63,94,86,9,7,7,0.5,9,77
8A5,A,Arts,Suman Thakur,Y,8,80105,79,99,55,56,7,4,4,0.5,3,61
8A6,A,Maths,Gaurav Acharya,Y,8,80106,91,51,53,89,3,6,7,0.8,9,75
8A6,A,Science,Gaurav Acharya,Y,8,80106,88,92,56,88,3,9,3,0.5,8,50
8A6,A,Social,Gaurav Acharya,N,8,80106,84,75,59,44,6,3,4,0.2,3,52
8A6,A,English,Gaurav Acharya,Y,8,80106,90,89,81,64,8,8,7,0.6,6,99
8A6,A,Hindi,Gaurav Acharya,Y,8,80106,96,63,45,67,8,5,9,0.9,3,72
8A6,A,Arts,Gaurav Acharya,Y,8,80106,84,64,58,77,5,3,5,0.7,4,55
8A7,A,Maths,Isha Pandey,N,8,80107,65,98,85,99,9,10,6,0.1,6,59
8A7,A,Science,Isha Pandey,N,8,80107,85,79,45,45,10,3,7,0.2,3,84
8A7,A,Social,Isha Pandey,N,8,80107,91,48,71,84,9,5,6,0.9,7,71
8A7,A,English,Isha Pandey,N,8,80107,86,66,94,46,6,6,7,0.7,7,40
8A7,A,Hindi,Isha Pandey,Y,8,80107,84,98,71,95,3,7,8,0.6,4,94
8A7,A,Arts,Isha Pandey,N,8,80107,78,69,73,97,9,4,5,0.7,8,52
8A8,A,Maths,Richa Ganguly,Y,8,80108,72,52,67,97,4,3,7,0.8,6,85
8A8,A,Science,Richa Ganguly,N,8,80108,68,50,83,99,4,8,5,0.2,7,63
8A8,A,Social,Richa Ganguly,Y,8,80108,67,63,42,87,10,6,10,0.7,6,69
8A8,A,English,Richa Ganguly,N,8,80108,80,71,47,56,5,3,5,0.5,7,90
8A8,A,Hindi,Richa Ganguly,Y,8,80108,89,74,90,54,10,9,2,1.0,4,76
8A8,A,Arts,Richa Ganguly,Y,8,80108,84,98,79,72,6,4,7,0.8,4,54
8A9,A,Maths,Aarti Murthy,Y,8,80109,89,69,76,80,10,6,10,1.0,10,86
8A9,A,Science,Aarti Murthy,N,8,80109,98,73,70,69,8,5,4,0.9,7,86
8A9,A,Social,Aarti Murthy,N,8,80109,68,56,74,54,6,7,3,0.5,9,92
8A9,A,English,Aarti Murthy,Y,8,80109,99,78,78,93,4,6,7,0.4,4,74
8A9,A,Hindi,Aarti Murthy,Y,8,80109,74,86,79,95,9,5,9,0.4,9,80
8A9,A,Arts,Aarti Murthy,Y,8,80109,98,87,89,53,6,8,10,0.8,5,39
8A10,A,Maths,Prisha Dutta,N,8,80110,100,69,96,58,7,5,5,0.8,4,72
8A10,A,Science,Prisha Dutta,N,8,80110,65,85,40,77,5,10,4,0.5,8,77
8A10,A,Social,Prisha Dutta,Y,8,80110,97,80,41,85,4,7,5,0.7,3,38
8A10,A,English,Prisha Dutta,N,8,80110,83,57,71,79,9,3,3,0.6,8,72
8A10,A,Hindi,Prisha Dutta,N,8,80110,98,47,61,87,8,4,5,0.5,3,86
8A10,A,Arts,Prisha Dutta,N,8,80110,73,99,74,41,4,8,2,0.2,8,48
8A11,A,Maths,Anjali Mehta,N,8,80111,93,84,55,60,6,6,6,0.8,4,59
8A11,A,Science,Anjali Mehta,N,8,80111,100,87,93,60,7,3,10,0.8,4,95
8A11,A,Social,Anjali Mehta,Y,8,80111,81,48,84,49,5,5,10,0.2,3,92
8A11,A,English,Anjali Mehta,N,8,80111,65,51,91,55,4,8,8,0.7,3,69
8A11,A,Hindi,Anjali Mehta,N,8,80111,86,64,69,51,3,7,5,0.7,9,82
8A11,A,Arts,Anjali Mehta,Y,8,80111,88,66,43,98,7,5,2,0.9,8,92
8A12,A,Maths,Rishabh Joshi,N,8,80112,69,97,84,90,8,7,3,0.4,9,49
8A12,A,Science,Rishabh Joshi,Y,8,80112,91,57,90,76,3,5,2,0.3,10,99
8A12,A,Social,Rishabh Joshi,Y,8,80112,87,72,83,80,4,5,9,0.2,8,83
8A12,A,English,Rishabh Joshi,Y,8,80112,86,41,56,61,10,10,2,0.5,3,100
8A12,A,Hindi,Rishabh Joshi,Y,8,80112,95,90,43,52,10,5,3,0.6,9,79
8A12,A,Arts,Rishabh Joshi,Y,8,80112,97,58,74,44,8,10,6,0.3,5,42
8A13,A,Maths,Richa Gupta,Y,8,80113,75,64,60,93,9,10,8,0.4,6,43
8A13,A,Science,Richa Gupta,Y,8,80113,94,88,58,97,3,7,10,0.5,6,72
8A13,A,Social,Richa Gupta,N,8,80113,75,58,80,60,6,8,10,0.6,9,57
8A13,A,English,Richa Gupta,N,8,80113,71,98,55,68,7,4,3,0.3,8,89
8A13,A,Hindi,Richa Gupta,N,8,80113,89,40,40,91,8,9,4,0.4,8,99
8A13,A,Arts,Richa Gupta,Y,8,80113,99,48,85,87,6,4,2,0.6,3,71
8A14,A,Maths,Manoj Grewal,N,8,80114,90,45,67,51,5,8,2,0.4,5,100
8A14,A,Science,Manoj Grewal,Y,8,80114,66,60,44,79,9,6,9,0.7,5,33
8A14,A,Social,Manoj Grewal,N,8,80114,68,76,74,70,6,7,9,0.8,5,98
8A14,A,English,Manoj Grewal,N,8,80114,91,60,96,88,4,9,2,1.0,3,44
8A14,A,Hindi,Manoj Grewal,N,8,80114,83,85,77,59,5,6,7,0.1,6,43
8A14,A,Arts,Manoj Grewal,Y,8,80114,81,83,95,94,6,5,6,0.9,7,84
8A15,A,Maths,Rudra Patel,Y,8,80115,92,75,69,55,10,4,2,0.6,3,96
8A15,A,Science,Rudra Patel,Y,8,80115,86,97,47,86,4,10,5,0.5,8,58
8A15,A,Social,Rudra Patel,N,8,80115,68,82,50,69,3,10,8,0.2,7,30
8A15,A,English,Rudra Patel,N,8,80115,90,91,57,45,5,9,3,0.2,10,59
8A15,A,Hindi,Rudra Patel,Y,8,80115,72,85,77,88,7,5,6,0.6,9,52
8A15,A,Arts,Rudra Patel,N,8,80115,87,45,51,63,4,8,10,0.6,3,33
8A16,A,Maths,Rajesh Khanna,N,8,80116,66,41,72,87,7,10,6,0.9,7,85
8A16,A,Science,Rajesh Khanna,Y,8,80116,90,61,100,80,4,10,8,0.5,8,33
8A16,A,Social,Rajesh Khanna,Y,8,80116,65,71,84,85,6,4,4,0.9,9,95
8A16,A,English,Rajesh Khanna,Y,8,80116,100,75,45,64,8,5,5,0.8,9,36
8A16,A,Hindi,Rajesh Khanna,Y,8,80116,70,83,100,82,8,8,8,0.7,3,42
8A16,A,Arts,Rajesh Khanna,Y,8,80116,100,61,40,62,5,3,7,0.5,10,81
8A17,A,Maths,Tushar Chauhan,Y,8,80117,93,63,43,76,6,4,6,0.2,8,59
8A17,A,Science,Tushar Chauhan,Y,8,80117,93,89,77,42,9,7,5,0.5,4,100
8A17,A,Social,Tushar Chauhan,Y,8,80117,65,56,63,74,4,7,5,0.8,3,86
8A17,A,English,Tushar Chauhan,N,8,80117,99,51,60,46,9,10,8,0.1,5,56
8A17,A,Hindi,Tushar Chauhan,N,8,80117,100,61,41,76,9,5,2,0.8,9,30
8A17,A,Arts,Tushar Chauhan,Y,8,80117,95,88,69,91,3,8,6,0.5,5,71
8A18,A,Maths,Vivek Ghosh,Y,8,80118,87,41,100,48,10,9,9,0.9,5,82
8A18,A,Science,Vivek Ghosh,N,8,80118,89,41,91,94,6,5,10,0.7,5,47
8A18,A,Social,Vivek Ghosh,N,8,80118,68,57,40,53,7,9,3,0.8,7,100
8A18,A,English,Vivek Ghosh,Y,8,80118,93,90,59,44,3,3,9,0.2,10,78
8A18,A,Hindi,Vivek Ghosh,Y,8,80118,99,88,69,74,3,3,7,0.2,8,44
8A18,A,Arts,Vivek Ghosh,N,8,80118,86,74,66,60,7,7,2,0.5,4,64
8A19,A,Maths,Pranav Banerjee,N,8,80119,96,78,57,90,6,10,9,0.6,9,40
8A19,A,Science,Pranav Banerjee,N,8,80119,67,47,99,84,10,5,3,0.7,5,75
8A19,A,Social,Pranav Banerjee,N,8,80119,87,98,51,50,9,3,6,0.7,5,92
8A19,A,English,Pranav Banerjee,N,8,80119,65,76,52,54,3,7,9,1.0,7,68
8A19,A,Hindi,Pranav Banerjee,Y,8,80119,68,82,65,64,5,10,10,0.7,7,35
8A19,A,Arts,Pranav Banerjee,Y,8,80119,66,78,46,89,3,8,2,0.5,4,55
8A20,A,Maths,Aman Verma,Y,8,80120,92,65,90,43,8,6,4,0.9,4,95
8A20,A,Science,Aman Verma,Y,8,80120,93,64,85,44,6,9,4,0.2,5,80
8A20,A,Social,Aman Verma,Y,8,80120,70,71,87,84,10,10,2,0.8,6,45
8A20,A,English,Aman Verma,N,8,80120,72,49,73,89,10,4,8,0.5,3,86
8A20,A,Hindi,Aman Verma,Y,8,80120,82,67,93,58,3,10,9,0.9,7,67
8A20,A,Arts,Aman Verma,Y,8,80120,71,49,64,95,8,3,9,0.9,3,30
8A21,A,Maths,Amit Khanna,Y,8,80121,88,81,46,71,7,9,2,0.8,10,42
8A21,A,Science,Amit Khanna,N,8,80121,98,98,90,47,5,3,10,0.6,8,71
8A21,A,Social,Amit Khanna,N,8,80121,83,56,77,92,5,10,2,0.5,3,54
8A21,A,English,Amit Khanna,N,8,80121,76,75,89,67,10,8,2,0.4,7,62
8A21,A,Hindi,Amit Khanna,Y,8,80121,96,80,91,99,9,7,10,0.6,6,71
8A21,A,Arts,Amit Khanna,N,8,80121,69,95,78,89,4,4,4,0.4,7,88
8A22,A,Maths,Deepak Chauhan,N,8,80122,92,96,99,59,8,3,6,0.4,3,31
8A22,A,Science,Deepak Chauhan,N,8,80122,90,44,59,60,6,8,3,0.7,8,81
8A22,A,Social,Deepak Chauhan,N,8,80122,67,98,86,46,8,4,6,0.1,7,70
8A22,A,English,Deepak Chauhan,Y,8,80122,76,52,71,59,3,3,2,0.3,5,90
8A22,A,Hindi,Deepak Chauhan,N,8,80122,81,87,83,91,3,6,4,0.1,9,32
8A22,A,Arts,Deepak Chauhan,Y,8,80122,68,70,95,61,3,5,8,0.6,7,41
8A23,A,Maths,Meera Mukherjee,N,8,80123,93,84,62,80,5,10,8,0.4,7,82
8A23,A,Science,Meera Mukherjee,Y,8,80123,84,77,74,93,3,8,2,0.7,3,77
8A23,A,Social,Meera Mukherjee,Y,8,80123,92,54,46,79,7,5,8,0.1,4,63
8A23,A,English,Meera Mukherjee,Y,8,80123,67,65,62,76,9,6,8,0.3,8,49
8A23,A,Hindi,Meera Mukherjee,Y,8,80123,85,54,59,47,3,7,8,0.2,10,36
8A23,A,Arts,Meera Mukherjee,Y,8,80123,98,85,63,44,9,9,3,0.9,3,59
8A24,A,Maths,Mehak Deshmukh,N,8,80124,98,50,62,51,8,4,9,1.0,4,36
8A24,A,Science,Mehak Deshmukh,Y,8,80124,66,65,71,48,10,7,2,0.8,8,79
8A24,A,Social,Mehak Deshmukh,Y,8,80124,83,59,100,91,4,6,4,0.7,4,63
8A24,A,English,Mehak Deshmukh,N,8,80124,76,69,51,41,10,4,7,0.8,10,53
8A24,A,Hindi,Mehak Deshmukh,N,8,80124,79,59,56,70,8,3,7,0.5,5,73
8A24,A,Arts,Mehak Deshmukh,Y,8,80124,81,48,67,93,4,5,7,0.3,9,35
8A25,A,Maths,Priti Kashyap,N,8,80125,86,52,60,89,9,6,4,0.1,7,77
8A25,A,Science,Priti Kashyap,Y,8,80125,71,89,71,53,6,8,8,0.5,9,47
8A25,A,Social,Priti Kashyap,N,8,80125,95,51,88,40,5,8,7,0.6,3,37
8A25,A,English,Priti Kashyap,Y,8,80125,75,95,66,81,5,4,10,0.6,10,79
8A25,A,Hindi,Priti Kashyap,N,8,80125,66,40,67,75,6,3,8,0.6,9,64
8A25,A,Arts,Priti Kashyap,Y,8,80125,97,98,97,70,9,8,4,0.3,3,55
8A26,A,Maths,Isha Bose,Y,8,80126,72,85,42,91,5,8,8,1.0,3,41
8A26,A,Science,Isha Bose,Y,8,80126,84,66,56,88,10,10,10,0.5,10,76
8A26,A,Social,Isha Bose,Y,8,80126,87,77,61,51,3,7,4,0.7,10,34
8A26,A,English,Isha Bose,N,8,80126,93,53,72,70,10,3,5,0.8,5,58
8A26,A,Hindi,Isha Bose,Y,8,80126,78,71,86,97,10,7,2,0.3,7,31
8A26,A,Arts,Isha Bose,Y,8,80126,80,44,75,50,10,8,8,0.8,4,46
8A27,A,Maths,Ridhi Roy,N,8,80127,79,85,96,55,8,9,7,0.5,7,71
8A27,A,Science,Ridhi Roy,Y,8,80127,91,96,57,94,3,8,5,0.9,9,39
8A27,A,Social,Ridhi Roy,Y,8,80127,67,76,98,81,8,3,4,0.2,6,51
8A27,A,English,Ridhi Roy,Y,8,80127,84,40,52,87,5,10,10,0.1,4,34
8A27,A,Hindi,Ridhi Roy,Y,8,80127,75,61,59,83,8,9,3,0.3,7,52
8A27,A,Arts,Ridhi Roy,Y,8,80127,88,81,59,87,3,7,7,0.6,8,33
8A28,A,Maths,Barkha Dwivedi,N,8,80128,84,80,75,100,6,6,4,1.0,8,54
8A28,A,Science,Barkha Dwivedi,N,8,80128,75,73,76,77,4,7,8,0.5,5,57
8A28,A,Social,Barkha Dwivedi,N,8,80128,68,84,58,45,9,10,9,0.7,4,47
8A28,A,English,Barkha Dwivedi,N,8,80128,80,90,70,92,10,9,9,0.6,9,66
8A28,A,Hindi,Barkha Dwivedi,N,8,80128,66,61,82,44,8,5,4,0.4,4,92
8A28,A,Arts,Barkha Dwivedi,Y,8,80128,95,67,72,91,9,10,6,0.4,10,97
