Class,Section,Subject,Name,ID,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Home Tuition (Y/N),Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
8,A,Maths,Kunwar Bansal,8_A_1,80101,81,80,100,72,Y,8,10,6,1.0,3,91
8,A,Science,Kunwar Bansal,8_A_1,80101,82,68,69,42,N,5,3,2,0.3,10,97
8,A,Social,Kunwar Bansal,8_A_1,80101,92,90,47,63,Y,4,7,7,0.5,3,69
8,A,English,Kunwar Bansal,8_A_1,80101,69,79,99,48,N,3,8,3,0.9,5,30
8,A,Hindi,Kunwar Bansal,8_A_1,80101,73,54,56,53,Y,9,9,5,0.5,10,33
8,A,Arts,Kunwar Bansal,8_A_1,80101,99,50,52,76,Y,7,4,3,0.5,5,80
8,A,Maths,Siddharth Sidhu,8_A_2,80102,67,51,92,70,N,5,4,3,0.5,6,42
8,A,Science,Siddharth Sidhu,8_A_2,80102,91,80,94,51,N,8,6,8,0.1,4,76
8,A,Social,Siddharth Sidhu,8_A_2,80102,87,53,62,98,N,8,6,6,0.3,9,66
8,A,English,Siddharth Sidhu,8_A_2,80102,87,69,69,44,Y,4,10,3,0.2,10,97
8,A,Hindi,Siddharth Sidhu,8_A_2,80102,83,100,97,85,N,4,7,3,0.9,8,66
8,A,Arts,Siddharth Sidhu,8_A_2,80102,92,84,78,41,N,8,6,6,0.7,6,41
8,A,Maths,Ishita Balakrishnan,8_A_3,80103,81,49,64,100,N,3,3,2,0.2,3,68
8,A,Science,Ishita Balakrishnan,8_A_3,80103,70,63,50,72,N,3,5,2,0.9,4,74
8,A,Social,Ishita Balakrishnan,8_A_3,80103,95,87,85,88,Y,8,9,4,0.6,8,30
8,A,English,Ishita Balakrishnan,8_A_3,80103,87,79,67,71,N,7,10,5,0.5,6,41
8,A,Hindi,Ishita Balakrishnan,8_A_3,80103,90,100,71,89,Y,8,4,5,0.4,3,48
8,A,Arts,Ishita Balakrishnan,8_A_3,80103,80,42,54,82,Y,9,6,5,0.1,3,57
8,A,Maths,Kriti Agrawal,8_A_4,80104,96,46,50,88,N,7,8,3,0.2,8,58
8,A,Science,Kriti Agrawal,8_A_4,80104,86,56,99,96,N,8,6,8,0.8,6,83
8,A,Social,Kriti Agrawal,8_A_4,80104,93,40,93,78,N,9,3,2,0.9,5,30
8,A,English,Kriti Agrawal,8_A_4,80104,91,65,88,82,Y,3,7,6,0.2,3,62
8,A,Hindi,Kriti Agrawal,8_A_4,80104,95,82,58,90,Y,10,10,10,0.6,5,65
8,A,Arts,Kriti Agrawal,8_A_4,80104,76,66,73,98,Y,3,3,4,0.4,3,63
8,A,Maths,Suman Thakur,8_A_5,80105,67,76,49,62,N,8,6,3,0.6,4,99
8,A,Science,Suman Thakur,8_A_5,80105,88,43,71,80,N,8,5,2,0.6,5,94
8,A,Social,Suman Thakur,8_A_5,80105,73,90,40,59,N,6,6,10,0.6,5,91
8,A,English,Suman Thakur,8_A_5,80105,73,68,79,89,N,7,9,2,0.4,3,75
8,A,Hindi,Suman Thakur,8_A_5,80105,87,63,94,86,Y,9,7,7,0.5,9,77
8,A,Arts,Suman Thakur,8_A_5,80105,79,99,55,56,Y,7,4,4,0.5,3,61
8,A,Maths,Gaurav Acharya,8_A_6,80106,91,51,53,89,Y,3,6,7,0.8,9,75
8,A,Science,Gaurav Acharya,8_A_6,80106,88,92,56,88,Y,3,9,3,0.5,8,50
8,A,Social,Gaurav Acharya,8_A_6,80106,84,75,59,44,N,6,3,4,0.2,3,52
8,A,English,Gaurav Acharya,8_A_6,80106,90,89,81,64,Y,8,8,7,0.6,6,99
8,A,Hindi,Gaurav Acharya,8_A_6,80106,96,63,45,67,Y,8,5,9,0.9,3,72
8,A,Arts,Gaurav Acharya,8_A_6,80106,84,64,58,77,Y,5,3,5,0.7,4,55
8,A,Maths,Isha Pandey,8_A_7,80107,65,98,85,99,N,9,10,6,0.1,6,59
8,A,Science,Isha Pandey,8_A_7,80107,85,79,45,45,N,10,3,7,0.2,3,84
8,A,Social,Isha Pandey,8_A_7,80107,91,48,71,84,N,9,5,6,0.9,7,71
8,A,English,Isha Pandey,8_A_7,80107,86,66,94,46,N,6,6,7,0.7,7,40
8,A,Hindi,Isha Pandey,8_A_7,80107,84,98,71,95,Y,3,7,8,0.6,4,94
8,A,Arts,Isha Pandey,8_A_7,80107,78,69,73,97,N,9,4,5,0.7,8,52
8,A,Maths,Richa Ganguly,8_A_8,80108,72,52,67,97,Y,4,3,7,0.8,6,85
8,A,Science,Richa Ganguly,8_A_8,80108,68,50,83,99,N,4,8,5,0.2,7,63
8,A,Social,Richa Ganguly,8_A_8,80108,67,63,42,87,Y,10,6,10,0.7,6,69
8,A,English,Richa Ganguly,8_A_8,80108,80,71,47,56,N,5,3,5,0.5,7,90
8,A,Hindi,Richa Ganguly,8_A_8,80108,89,74,90,54,Y,10,9,2,1.0,4,76
8,A,Arts,Richa Ganguly,8_A_8,80108,84,98,79,72,Y,6,4,7,0.8,4,54
8,A,Maths,Aarti Murthy,8_A_9,80109,89,69,76,80,Y,10,6,10,1.0,10,86
8,A,Science,Aarti Murthy,8_A_9,80109,98,73,70,69,N,8,5,4,0.9,7,86
